,text
79,"한나의 아버지를 찾아 백설공주와 난쟁이 두명이 함께 길을 떠납니다.아버지를 찾아 헤메는 과정이 조금은 험난하고 힘들지만 포기하지 않고, 서로 도와가며 한나의 아버지를 성에서 구출하는 장면들이 우리 아이들에게 감동을 ..."
80,내용도 이상하고 무엇보다 그래픽 ;;;:
81,재미있었습니다.애들이 너무 좋아합니다.
82,애기들이랑 재밋게잘ㅤㅂㅘㅅ습니다.
83,감동을 주는 영화였어요  재밌었어요
84,아이와 함께 가따왔네요. 내용은 아이들 수준딱 좋고요.마지막부분 감동적이네요
85,아기가 좋아는 하는데 영상 완성도가 부족하네요
86,아이가 웃기도 하고 슬프다 표현도 하고 5살 남자아이와 감성 묻어나게 보고 나왔네요~추천해요
87,너무 즐겁고 교훈적이였어요
88,재미있게 보았습니다.살짝 슬프기도하구여
89,남자아이들도 재밌게보네요~~~
90,여자 애들은 좋아할만한 ㅋㅋㅋ그런데 ㅠㅠㅠ 아무리 그래도 좀 신경써서 만드시ㅤㅈㅣㅋㅋㅋㅋ 애니 발연기에 아주 ... 놀램
91,아이가 재밌어해요~ㅎㅎ
92,너무슬펐어요아이들이보고엄청울었네오
93,딸이 재미나게봤습니다
94,"우리딸은 눈물,  콧물 다흘리면서 봤어요너무 슬펐데요,"
95,아이가 아주 재밌아 합니다
96,넘나 잼나게 봤구만요~ 흥해라 흥!
97,"우리 아기는 보다가 울었어요. 그리고 정말 재미있긴한데, 혼자 아빠를 찾으려면 무서울것 같은데..."
98,어디 대학 동아리에서 제작한줄...중간중간에 흐름 딱 끊기고 별론데... 6세이하는 괜찮을듯
99,너무    너무  재밌어요^^  이모도재밌다내요
100,아이가  재미있게 봤습니다
101,더빙도 안맞고 그래픽도 별로.
102,아이들은좋아하네요~단순한백설공주얘기에서 가족애를 느낄수있어서 좋으네요~
103,아이랑 같이 보기 좋아요
104,백설공주가 주인공이  아니네요ㆍ짜집기한  스토리같아요ㆍ졸았어요
105,백설공주는 말할 필요가 없음!
106,아이가 눈물을 흘리네여~~
107,아이들에게 감동을 주는 영화입니다
108,딸들이 보고 조아라.. 역시 딸들에겐 공주가 갑^^애글눈높이에 맞는영화 .. 비도오는데 즐거운시간보내고왔슴다
109,잼나네요 아이들도 신나하구요
110,집중집중~~너무재미있어요~~
111,그럭저럭 볼만했습니다~~
112,괜찮아요 아이들보기좋네요
113,아이랑보기 좋았습니다
114,테이블 영화관 처음 가봤는데 너무 좋네요 영화도 5세6세 지루해하지않고 재미있게 봤어요^^
115,긴장감이나 긴박감이 부족...하지만 아이들의 따뜻한 동심을 느낄수 있는 영화였습니다
116,그래픽 OO다는것만 명심하고 보시길ㅋㅋㅋ 눈이아픔
117,저희아인 정말 재밋게 봤어요~~집에와서 포스트들고 무한반복 스토리 야기하네용
118,딸아이가 너무 좋아하네요~~^^
119,추억도 생각나고 ㅎㅎ 친숙한 소재를 재해석한 이야기 좋네요! 아이와보기 추천합니다
120,어린이 감성이 발육되는 좋은 영화네요 ㅋ
121,조카랑 보고왔어요~ 조카가 좋아해서 오랜만에 점수 좀 땄네요~^^
122,백설공주 이야기에 감동까지~ 아이들이 울고 웃으면서 재미나게 보네요 강추!
123,6세 아이 보기 좋아요~
124,조카랑 눈물찔끔하며 봤네요 ㅠㅠ 감동적이고 아이랑 즐거워할만한 영화였슴다 잘 봤습니다~
125,딸아이가 재미있어하네요~~
126,별로 재미없어요 졸았어요
127,"딸이 재미있대서 별 세개.. 사실 여러모로 빈틈이 많이 보이는 애니메이션임, 인물 표정도 그렇고 흐름 끊기는 것도 그렇고 잘만들지는 못한듯"
128,딱 대학교 졸업생들이 졸업과제로 만든 퀄리티네요.. 어설픈 3d가 군데군데 깨지고 캐릭터도 전혀 매력적이지 않으며 로봇틱한 작위적인 동작이 눈쌀을 찌푸리게 합니다.. 싱크도 안맞고 중간중간 씬이 건너뛰어서(특히 물에...
129,빠마 머리 백설공주란 진짜 시각적 고통을 안겨준다.고월트 디즈니 선생이 무덤에서 벌떡 일어나셔서 이 애니 감독 제작자 관계인물들 영원히 용서 안하실 듯...남의 걸작을 이따위로 니들 맘대로 쳐 망쳐 대지 말아라.이짓...
