,text
2746,"1. 귀인에 대한 설정, 차사의 이승개입에 대한 설정, 지옥귀모양의 설정 전부 붕괴함 2. 쥬라기공원3. 마지막 억지울음만들려고 감동포인트잡는데 앞부분의 중구난방인 내용때문에 몰입 1도 안됨4. 강림아빠가 사실 메타..."
2747,신과함께x 내 인내심의한계o
2748,별로라는 댓글보고 기대안했는데 졸잼!!마지막 보너스컷2개 꼭보세요!!!
2749,개인적으로 1보다 좋았음. 1보다는 좀 잔잔한 맛이 없지 않아 있지만 인물들이 서로 용서를 구하는 모습이나 더 심오하고 재밌는거 같음. 3편도 나왔음 좋겠다.
2750,1편은 중간에 지루했는데 2편은 지루할틈 없이 시간가는줄모르고봄 ㄹㅇ2편이 훨재미ㅤㅇㅣㅎㅆ음
2751,진짜 1편도 너무 재밌게 봐서 개봉하자마자 봤는데 진짜....기대이상으로 반전의반전의반전이라 넘 훙미진진!!!! 특히 주지훈 앞머리 내린거 존잘....넘 재밌어성 한번더 봤는뎅 ㅤㅇㅙㄹ케 점수낮징...진짜 강추! 전국민이...
2752,1편도 좋았지만 2편도 몰입 장난 아니었다
2753,우리나라에 이런 영화가 나올  수있어서  좋아요
2754,동양 판타지 영화인데 CG많다는 사람들은 뭐지
2755,재미있었다.  완전완전  재미있었다.
2756,1편보다 긴장감이 떨어졌네요.아쉬움이 많았던..
2757,미션이랑 다른 개봉 영화들 영화관수 늘려라8관 중 7관이 신과함께가 말이 되냐
2758,반전이 좋았다는 이야기가 많은데 반전 정말 급조한 거 같은 느낌은 안드셨나요? 1편은 가족애라는 감성포인트라도 있었지 ㅠ 저는 어디에 평가하거나 이런 거 일절 안하는데 이번엔 우리나라 영화의 발전을 위해 꼭 써야겠다...
2759,주지훈 사랑해요 진짜로 이 영화 찍어주셔서 감사해요
2760,별다른내용이 없어서 아쉬움...
2761,아진짜 스토리 맥없네  하돈아깝다
2762,노잼 노잼 노잼 앉아 있기 괴로웠어요 ㅠㅠ
2763,이건 아닌 것같아....
2764,6.5 가 딱인 영화라 평균점수를 위해 1점을줍니다.
2765,"이승이나 저승이나 학연,혈연,지연으로 이어지는건 똑같구나.."
2766,주식은 죽기 직전에 오른다
2767,와 재밌다. 라는 느낌은 아니었던 영화.
2768,1편이 신파만 보여쥰. 아동용. 2편은 인과를. 보여준 어른용
2769,자막올라가고 바로 자리뜨면 안됨~추가영상 꼭 봐야함!!!
2770,가족이랑 함께 보러 갔는데 재밌게 보고 왔네요.. 특히 주지훈씨 앞머리 내렸을때..와 진심 탄성이..연기도 좋았고 스토리도 나쁘지 않았네요 별점 10점드립니다. 안본 사람들도 한번 보시길 추천합니다.
2771,마지막에 궁금했던게 다 풀려서 대박이었다 꼭 모두 보시길!
2772,남편과함께 하지만 남편는잤다 나만 보았고 1편 보다는 재미는 덜했다
2773,난 재밌는데 잼없으면 보지를 말던가 열폭 엄청하네
2774,전편에 이어 재밌게 봤어요
2775,1편보다 더 좋았어여 역시 믿고보는배우들
2776,제밌어  1편 보다  색다르고 ..정신 없고
2777,하정우 주지훈 잘생겼다
2778,1편을 넘 재미있게 봐서 기대했는데 중간이 좀 지루하러  갔었음 그이후로는  몰입이저절로 되고 이정재 목소리는 역시  멋짐
2779,난진짜재밌었는데...
2780,아이들이 재밌어 하네요
2781,스토리 재미 다좋던데여 더운 여름 션하게 강추여~~
2782,역대급 영화네요 3언제나오죠?
2783,1편보다 먼가좀  부족 하네요  감동이나.. 잼이가
2784,"진짜 인생 영화입니다 몰입도도 좋아서 옆에 분들은 아예 고개를 내밀고 보시더라구요 스토리며 배우들의 연기력이며 너무좋아서 도무지 흠잡을데가없는 영화였습니다 왜 이렇게 호불호가 갈리는지, 정말 댓글알바인지 궁금하시다면..."
2785,저도 주지훈에 한표 던지네요. 그렇게 멋질 줄은~
2786,반전의요소 잘보고갑니다
2787,말할거없이 대박임 진짜 재밌음 진짜 완전 재밌음 시간흘러가는지 모르고 계속봄 1번 더보고싶단 생각든다 진짜 와 신과함께2 진짜 대박이다 완전재밌어요!!
2788,반전이 너무많아서 좋았어요 1편은 눈물을너무많이흘리게했는대 2편은그게없어서 살짝아쉬웠음
2789,반전에 반전 진짜 재밌어용~~~!!!안 보면 진짜 후회할 영화!!
2790,형 믿고 봐라 1편보다 재밋다
2791,제 인생영화가 됐습니다ㅎㅎ
2792,인랑의 허접함을 메꾸고 한국영화의 자존심을 세운 영화
2793,꼭 봐라 후회 안한다. 꼭볼
2794,진짜 진지하게 신과함께1편보고 재밌고 감동적이게봤는데 개인적이지만 2편은 조금 많이 지루했습니다 ㅈ
2795,너무 기대를 많이 한 탓일까..1편 보다는 못한 것 같다..뻔히 보이는 결말에 중간부분이 루즈하게 느껴졌다..뭔가 억지로 끼워맞추기 한 듯한 느낌이 드는 부분도 있었고..특히 갑자기 지옥판 쥬라기공원..대환장파티ㅎ
2796,1편보다 더 재밋고 3편이 기대되는 2편이엿습니다
2797,재미있음 반전도 짱짱짱 1보다 2가훨잼
2798,방금 보고 왔는데 진짜 재밌음 . 주지훈 앞머리도 좋고 외모 팡팡 진짜 마지막은 웹툰 본 사람만 알 내용이 있음
2799,보다 졸았다 역시 재미없다 3편 예고 하던데 절대안볼꺼다
2800,진짜 시간 가는줄 모르고 간만에 집중해서 본 영화 주지훈 완조니 멋있음
2801,하얀 삯을 위한 영화다ㅋㅋ
2802,1보다 더 재미있었던건각 차사의 스토리텔링때문!
2803,신과함께 1보다 훨씬 좋았습니다.
2804,1편보다 서사적인 내용이 주를 이루내용~~
2805,1편보단  훨 나아요나름 잘  만든듯요~^^
2806,1편보다 재밌움 기대이상
2807,스토리 배우연기 다좋았음
2808,2편이 훨씬 좋다. 스토리든뭐든.... 나는 시간가는줄 모르고 정말 재밌게 봤다. 3탄도 빨리나왔으면
2809,"오늘 영화보고왔어요. 관람한입장에서 솔직히 말하자면 스토리도 전편에 비해 많이 탄탄한느낌이었어요 개그요소도 있고 감동도 있고 마지막 장면에서 반전도있었... 재밌었습니다 빨리 3편,4편도 나왔으면 좋겠어요!"
2810,"대박인데 왜 낮게 나오는지,,,"
2811,완전재밌어요! 이번편은 갠적으로 주지훈님 매력적
2812,"스토리는 너무 좋은데 141분동안 풀어내기엔 짧은 시간인듯,,,그래도 재밌었따!!"
2813,개꿀잼 ㅠ 신과함께 보세요 ㅠㅠ
2814,1은 2를위한 예고편에 지나지않았다
2815,말 필요없다잘 만들었다 good
2816,볼만해요ㅋㅅㅋ 주지훈 지렸습니다
2817,1.~3점 주신분들 영화 보신거 만나? 스토리.액션 난 볼만 한대
2818,"나는 개인적으로 1편보다 더 재밌게 봤음 ㅠㅠ하 진짜 미쳤다 3,4편 원해요,,"
2819,"과장 아니고요, 정말로 영화 이야기가 어린 아이들에게도 도움 되는 내용이고, 스토리가 무엇보다 전화보다 훨씬 탄탄합니다. 재미있게 잘봤어요."
2820,개인적으로 과거 현재 번갈아가며 보여주는게 좋았네요ㅎㅎ 마지막 진짜 소름 돋았어요ㅋㅋ 3탄 기다립니다!!
2821,오늘 보고왔는데 역시나 재미있네요 ㅋㅋ 굳
2822,1보고 실망했는데 결말보고싶어서 도전했는데 잼네 허허
2823,1편보다 훨씬 꿀잼! 러닝타임이 긴데도 넘 잼있게 봤네요
2824,이런말해도 되려나 한국판 마블같음
2825,진짜 짱이다 ㄹㅇ로 1편본사람이라면 2편도 봐주면 진짜 짱 재밌다
2826,1편보다 지루하고같은장면 나오는 느낌에 색다른 감을 못 느낌
2827,2편을 통해서 주지훈이 너므 좋아짐 ㅜㅜㅜ 여러분 모두 주지훈 하세요
2828,2편을 기다리고 있었는데역시나 실망시키지 않았다
2829,걍 한마디면 됨미쳤다...
2830,아니이 재밋는걸 왜 안보지 진짜 ㄹㅇ 띵작인데 1편은 1편대로 재밋고 2편은 2편대로 재밋는데 진짜 돈 안 아까우니깐 다들 보세요ㅠㅠㅠㅠ
2831,1편만큼 기대하고 봤는데 기대보다 재밌었던 작품
2832,제 남친은 존잼이랫구 저는 지루햇어욤
2833,1편보다 못해요 내용이 꽉찬 느낌은 아니네요
2834,1편보다 나은 속편은 없다 이해가 안되는게 공룡은 왜 뜬금 없이나와 그리고 차사들 과거 이야기는 아침드라마 신파극 수준이었다 실망 많이했음
2835,역시 출연진 굿 넘 좋아요 모두다
2836,끝까지보세요!!!!
2837,1편보다 훨씬 재밌었고 미션임파서블보다 재밌음
2838,"확실히 1편보다는 2편이 훨씬 스토리가 탄탄한것 처럼 보였고, 주지훈 머리 내린거 핵 존잘이라 치였다.. 또 웹툰과 다른 삼차사의 전생이 새롭고 좋았던것 같다. 원맥이랑 덕춘이 과거.. 원맥이가 덕춘이한테 자기 하얀..."
2839,"각본, 연기, CG 어디하나 흠잡을 데 없는 영화본래 잘 만든 기계라 함은 특장점이 있는 기계라기보다기본적인 기능들에서 어디하나 떨어지는 부분이 없는 기계인데, 이 영화또한 그랬음"
2840,반전도 굿 스토리도 굿 짱
2841,멋지네여  재미있게  잘봤습니다
2842,전편에 비해 약간 아쉬ㅤㅇㅝㅅ지만 재미잇엇음 ㅋㅋ
2843,보는 내내 영화에 쏙 빠져서 재밌게 봤어요~
2844,반전에 반전..!뻔한듯한 부분에서 반전에 반전이라 즐겁게 봤습니다!!
2845,주지훈 배우의 연기력을 다시 생각해보게되는 영화
2846,평점첨주는데 10점 줄만함
2847,주지훈 사랑합니다.주지훈 멋있다. 주지훈 잘생겼다. 주지훈 반하겠다.
2848,그냥 주지훈이 잘생겼다
2849,완전 대박이였어요!!!3편 나왓으면 좋겠습니다
2850,"1편의 한국형 신파를 그리 욕하던 그저 한국이라면 일단 깔아 뭉개고 보는 아픈 사람들에 대한 감독의 카운터. 1편은 화려함과 눈물을 통한 관객 흡인 및 전체적 스토리의 기초작업, 2편은 신파를 줄이고 내용을 한 땀 ..."
2851,너무 재미있어요.시간가는줄 모르고
2852,1편때 흩어져있던 퍼즐 조각들이 2편때 하나씩 맞춰지는 느낌~ !!너무 잘 보고 나왔습니다.^~^b
2853,곤지암도 1점줬는데 알바라더라.. 봐라.. 안말린다.. 걱정되는건 한국 관객 수준이 이정도라 앞으로 이런 영화만 생산될까봐 그게 걱정임
2854,난 2편이 더 좋았다! 점점 몰입해서 봄
2855,개인적으로 신과함께 웹툰 본 사람들은 이 영화를 보면 나름 재밌게 봤을거라 생각해요.
2856,사극을 좋아해서 그런가... 개꿀잼이였는데
2857,"1편은 특정배우 팬이라 팬심으로 봤는데 2편은 진짜 시간 안아깝, 돈 안아깝 3편했음좋겟다"
2858,개인적으로 1편보다 재밌었다 신파도 쫙 빠지고 진짜 개~~~~존잼인디 재밌기만 하구만ㅋ
2859,"정말 웹툰은 웹툰대로, 영화는 영화대로 잘 만든듯... 1편도 2편도 엄마랑 같이 봤는데 되게 좋다하셔따!! bbb"
2860,아무 생각 없이 봤는데 너무 몰입해서 다음 생각할 겨를 없이 영화에만 집중해서 마지막엔 소름이였어요 여러분들 꼭보세염
2861,보는 내내 웃겼고 감동적이며 반전의끝.정말 재미있었다
2862,전편과 같은 스토리가 아니여서 더 재밌게 봤어요
2863,"평점 테러 좀 하지마라,경쟁작 알바들이 테러 오지게 하나보네,평점 1점들 도대체 뭐냐!솔직히 10점 만점짜리도 아니지만 평점 1점으로 테러짓하는 알바들 꼴보기 싫어서 10점 만점준다,원래 내 평점은 7점 정도인데,평..."
2864,전편보다 훨 나음. 내용도 탄탄하고 근데 이정재는 정말 특별 출연임? ㅋㅋ
2865,그냥 너무 좋았어요ㅠㅠ
2866,천만관객 예약이다..
2867,너무 재밌게 잘봤아요주지훈 짱!
2868,올여름 제일 재미잇게 본거같습니다 ~ 강추!! 1편보단 개인적으로 더잼게본듯 ..
2869,딱 8.5 다... 여름 킬링으론 괜찮아 5점이하는 알바생.돈 아깝거나 그런건 없음.
2870,재밌긴해요.. 근데 누가봐도 이 사람인데 이걸도대체 몇시간을이렇게나 끄는거야? 라는생각은 들더군요. 그 밝혀내는시간까지 너무오래걸려서 지루한면이 좀 있는것같아 아쉬워요.
2871,인랑을 보면 알수있지 아무리 알바풀어서  평점6점을 못넘기는하루지나고도 8점대 유지면  신과함께는 흥행은 할듯 물론 난아직 못봄
2872,솔직하게 묻자. 이게 재미있냐?
2873,글쎄  뭐딱히 재밌다는 느낌은 없네요
2874,말도 안되게 오지게 좋아버림
2875,1편보다 나은 2편...
2876,마동석 설명봇 주지훈 하드캐리
2877,내용이 알차요. 전편보다 스토리를 집중하게 되네요.
2878,1보다 훨씬 재미있게 봤어요..주지훈 완전 멋짐..
2879,"재밌었어요~ 전작은 보편적이고 누구나가 느낄 수 있는 모성애를 극도로 다뤘다면, 이번 작품은 신들의 연관성와 인연을 섬세하게 그려내서 인과관계 그리고 그 이유들이 잘 드러난, 그러면서도 웃음과 맥락을 잘 짚어낸 영화..."
2880,전 1편보다 재밌었는데 평점1점 주는 사람들이 이상한건지 내가 이상한건지...;;
2881,재밌음. 10점드립니다
2882,재밌는데 평점 왜이러냐?
2883,재미와 감동과 눈물과 반전을 다 넣으려다보니 조금 산만했던 것 같아요ㅠㅠㅠㅠ 분명 웃음포인트도 있고 감동도 있고 반전도 있었는데 이상하게 좀 지루했어요ㅠㅠ
2884,영화가 박진감보다는 차사들의 과거와 사연을 들려주는 스토리텔링 위주라 솔찍히 좀 지루함. 필요없는 장면도 몇 장면 있고. 유머소스는 마음에 들었고 재미없지는 않지만 그렇다고 재미있지도 않음. 솔찍히 난 후반부에 좀 ...
2885,오랜만에 엄마랑 영화 보러 왔는데 너무 재밌게 봤어요!! 연기 구멍도 하나도 없고 마음을 울립니다!
2886,"1편에이어 2편도 진짜 재밌게봤어요 많은것을 느끼게해준 영화입니다.감독님 ,배우님들 고생많으셨어요"
2887,전편은 억지감동이었고 요건 지루함. 중간중간 피식하는 부분 있음. 반전이 몇개 있는데 뻔히 읽히는 반전이라 아쉬웠고 맨마지막 반전만 놀랐음. 그리고 마지막 디오 ㅋㅋ목소리가 너무 웃겼음.ㅋㅋ
2888,"솔직하게 그냥 재미있어요근데 미션임파는 백배 재미있어요 ,,"
2889,처음에는 좀 흥미롭게 진행되다 중간에 너무 과거로 가길래 이거뭐지 싶다가 막판에 그내용들이 피라미드처럼 차곡차곡 맞아가면서 소름이 돋았습니다...왠만하면 평가안하는데 1편 본분들은 꼭보세요 진짜 소름돋습니다 마지막 ...
2890,대실망. 사람들 리뷰보고 설마했는데.
2891,주호민이 왜 주호민인가
2892,"아 진짜 재미있어요 ㅠ ㅠ 한번 보고 두번 보세요 세번보세유 ㅠ ㅠ 후 ㅜ회 안해요 2시간 반이 2분처럼 느껴짐 ,,"
2893,영화보니깐 평점 낮게 한게 오히려 테러던데? 너무 재밌었어요 내용 완전탄탄하고 진짜 평점이랑 댓글보고 걱정했는데 보세요 이 영화 천만넘는다 진짜
2894,재밌었는데 다들 왜그러지 .. 이거 보신분만 아시겠지만 진짜 ㄹㅇ 신과함께 3 나올각 아니 나와야함 감독님 제발 신과함께 3도 찍어주세요 ㅠㅠ
2895,"전편보다 더 좋고 훌륭했어요 ! 나무랄 부분없이 보는 시간이 즐거웠어요. 두번, 세번도 충분히 보고싶어요 :)"
2896,영화 구성은 굉장히 짜임새있고 전편에 이어 보니 재밌게 보았습니다 밑에 1점 0점 주는 사람들 생각이 있는지 그렇게 이 영화를 밑으로 내리고 싶은지~~에휴
2897,1편은 눈으로 볼게 많은 영화였다면2편은 한편의 드라마같았다
2898,좀 질질끄는감이 있지만 간만에 한국에서 갓띵작 만들긴했네 스토리는 살짝 뻔하긴했음...
2899,이제 막 보고 나왔는데요 3편은 언제 나오나요?
2900,재미있게보고 나왔는데 평점보고 놀랐엉요.왜 재미없다고  할까요?시간가는줄 모르고 봤는데..
2901,웹툰을 보고 봐서 그런가 1편보다는 덜 억지스럽고 개연성 있다고 생각함공룡도 어짜피 자기가 마음속에서 가장 무서운 것이 나온것이여서 별로 억지스럽다는 생각은 안 들었다
2902,두 판관은 왜 모가지 안 내놓음?
2903,재밌던데 1점 준 사람은 뭐지?
2904,솔직히 1편이 너무 강렬했어서 어쩔수없었음ㅠㅠ
2905,친구들이랑 조조로 봤는데 개꿀... 아침 일찍 일어난거 후회 안된다ㅠㅠ 댓글 알바 아니니까 뭐라 하지 마세요ㅠㅠ
2906,전편보다 훨씬 낫다 평점테러 왜이러지 인랑이 알바풀었나..
2907,엄청기대하면서영화관갔는데 가는중간에평점을보니까너무안좋아서걱정했지만 정말재미있었음. 1점은말도안된다고생각하고 물론내기준에서1편이더재밌긴했지만 2편도 많은여운을주는영화였음. 1편처럼중간중간웃기고. 영화본입장으로서 사람들...
2908,1편을 정말 재미있게 봐서 2편도 기대되었었는데 역시!! 기대에 부족하지 않았어요!!
2909,댓글에 재미없다고 많이달려있어서미리 예매해놓고도 불안했는데저는 재밌게봤어요전작보다 더 재밌었고 가족들도 재밌다고 하네영돈이 아깝진 않았습니당
2910,오늘 보고왔는데 진짜 개꿀잼이던데.. 평점 1점보고 걱정했는데 중간에 웃긴부분도 있고.. 나만그런가...jQuery22402820809559416153_1533122795027
2911,하정우 잘생겼다 ㅎㅎ 강림 오빠!!!
2912,존잼 1보다 2가 훨씬 재밌음
2913,어벤져스 인피니티워 상영관 독점할때는 조용히 있다가 한국영화가 독점하니까 개떼같이 달려드네... 수준하고는 ㅉㅉ
2914,전편도  정말로 뛰어난 작품이었지만 이번에도 너무나 좋은 작품 나와서 정말로 감사해요!! 2편을 계속 기다리고 있었는데 차사들의 비밀과 마지막에 나온 반전의 김수홍!! 아..벌써 3편이 기대가 되네요..만드시고 촬영...
2915,오늘본사람 알바아님 재미없었어요.조금재미있었어요.2까지 실망  자다봐서그런가요.전 영화랑안맞는 듯.
2916,졸 재미나게 봤음 중학생 아들도 1편보다 재밌다고 하고반전에 반전 어마어마합니다
2917,전편에서 김동욱이 터졌다면 이번편은 주지훈이 터진다
2918,연기자 도경수의 활약을 응원합니다
2919,1점 진짜 알바인듣 어벤져스도 평점않남겼는데이건 정말 평점 9점은 되야함 2시간20분이 후딱 지나감
2920,재밌음 도경수 연기 잘해서 3으로 보고싶음ㅠㅠ
2921,줄어든 액션의 재미를 채우는 이야기의  완성도.
2922,진짜 최고의 영화일듯 ㅋㅋㅋ
2923,주지훈 너무 멋있고 스토리 너무 탄탄했어요! 신과함께1과 다른 부분에 더욱 집중한 내용이라서 더 좋았던거 같아요!!
2924,꼭봐라 도경수짱이다진짜루 사랑해
2925,1점주는 평점테러 알바들 활개친다하여 와보았습니다.
2926,"각각의 이야기에 대한 마무리를 잘 지었음. 러닝타임이 길어 중반에 살짝 지루했지만, 이 정도면 충분히 한국영화 수작임. 1편보단 2편이 더 나음."
2927,보고 이야기하는거임? 미션과 비교말고 잼잇게 보시길 ㅎ
2928,하정우주 지흐김향기씨ㅠ그리고이정꼭보세요
2929,재밌습니다 대박 반전 입니다
2930,재밋어요 꼭 보세요!!
2931,핵꿀잼 무쟈게 기대하고 봤는데 잼났당
2932,? 난 재밌었는데 1편보다 2편이 더 재밌었어요
2933,아주재미있어요ㅅㅆㅎ
2934,네이버것들은 왜이렇게 불만이 많냐ㅋㅋㅋ
2935,유치해요... cg기술력은 좋아요...
2936,기대 이하였다... 초반에만 흥미롭고 후반 스토리가 금방 예상할 수 있었다. 타임킬링용으로는 괜찮다..^^
2937,나는 걍 볼만 했음...  인랑 보고 나니 다른 영화가 재밌어지는 마법을 경험... 다만 나는 미션보고 싶었는데 상영관이 너무 줄었다...  독과점이 너무 심하다  상영관꼬라지 보니 천만 넘겠더라
2938,재밌었는데...반전도있고떡밥도잘풀었고..3가기대되요! 주지훈연기너무잘한다 잘생겼다 나머지도다연기너무잘해요
2939,생각보다 재밌었는데jQuery224024839094938974215_1533111942677? 난 후속편이 기대가됨 내가 비정상인가 왜 추천받는 댓글들은 다 별점 한개지ㅋㅋㅋ
2940,1편과 비슷한 배경이지만 스토리가 탄탄하고 코믹요소가 많고네요 저는 1편보다 잼있게봤습니다.
2941,뭔가 억지로 끼워 맞춰진거 같은 느낌?
2942,잼있네요오늘개봉날인데드뎌보고왔어요또보고싶어집니다
2943,아침에 조조로 영화를 보고 왔는데 생각보다 더 흥미진진 했었고 차사들의 천 년 전 과거 이야기 라서 이해 못하는 사람들은 엄청 지루했다 할 수 도 있음 1편에 비해 조금 지루하다 할 수는 있지만 평점 1점 줄 만큼은...
2944,재밌는데...평점보고 안보려다 봤습니다 스토리 전개될 때마다 소름돋던데 꼭 불켜지기 전까지 보세요
2945,보기전에 미리 평점 올리기
2946,"호불호가 너무 많이 갈렸고, 진기한이 원기의 변호를 해야되는데 ,3차사의 과거가 원작과 달라서,약간은 꺼렸음."
2947,사실 1편도 그닥 잘만든건 아니었음. 눈물짜내기 영화지...머...ㅋㅋ
2948,와.. 진짜 이건 의리다 의리... 의리로 본 영화
2949,아니 도대체 누가 알바고 누가 진짜 관객임?
2950,그냥저냥...기대했던것보단 별루지만...
2951,자업자득!! 사람과  사람 사이를 다시 한번  생각해  보게  만든다.
2952,추석동안 정주행했어요~명작이에요.3편도 나오면 꼭 봐야겠어요.
2953,시간가는줄 모르고ㅤㅂㅘㅅ음ㅋㅋ 담편도 기대됨
2954,평점에 비해 너무 재미가없다 감성팔이만 하네
2955,에휴~..이걸루 천만이나 낚은거야????.????
2956,지금 영화 안끝났는데 평점 남기고 있다. 이거 왜 0점은 없냐. 원작을 망쳐도 정도가 있는거다.억지 개연성 진짜 쩌네. 원작 보고 영화 만든거 맞나?감독 역량이 너무 부족하다 .그냥 원작과 출연진에 힘얻어 흥행몰이 ...
2957,지옥이 뭐냐고? 이영화를 보고있는 이 지루한 시간이 지옥이다.  이영화를 본 관객수가 우리영화계의 현주소다...
2958,"이번 설날에 쉰들러리스트와 인과연 딱 두편의 영화를 봤는데, 쉰들러리스트 보고 인과연을 보니 인과연이 쓰레기영화처럼 느껴졌다..; 인과연을 먼저 볼걸..그럼 쉰들러가 잘만든 영화 라고 느낄텐데 쉰들러를 먼저보니 인과..."
2959,솔직히잼있나? 와...진짜 이런 영화가 천만이라니 ㅋㅋ
2960,잼없다...1편이나2편이나 똑같음.그냥 볼게없어서 봄.억지 부르는 개그.그리고 재미없는 이야기.
2961,1편은 유치한 감성질..2편은 뭣같은 크로스편집에 회상씬..진짜 이런 수준낮은 감독 영화를 왜보는건지
2962,이상하게 1편 보다 재미가 없네? 공룡나오고 정신이 없다. 대사는 왜이렇게 오글거리냐.. 반 보다가 그냥 잤다.
2963,헛웃음나오는 구멍 송송 스토리
2964,1보다 감동이 없음. 비추
2965,지금 드루킹이 문제가 아냐  이영화 평점사기극은 진짜 국민청원감이다. 추석특선영화로 전편다시봐도 볼만했어서 평점믿고 vod결제 했더니 별하나도 아까운 망작이잖아. 10점주는 애들 멘트도 다 거기서 거기 반복되는걸 왜...
2966,무슨 초딩들 교육용  드라마 찍은듯...
2967,어쩜 영화 전반에 걸처 신파를 나열할 수가 있는지와 어떻게 이게 또 천만이 들었는지가 무척이나 궁금하다...
2968,"지루해서 죽을뻔했던 영화. 교차편집의 전달방식이 너무나 비효율적. 설명충 마동석 역할이 너무 싫었음.  다 아는 결말을 질질 끌면서 짜맞추기식으로 결론도출.. 1편은 신파가 통했고 한방이라도 있었지만, 이건 뻔한 스..."
2969,ㅅㅂ 각본 뭐냐 개판이네
2970,개연성제로의  쓰레기영화
2971,아직도 걸려있네;; 이제 그만 내려라 빨리 따운받아보게~
2972,영화관 뛰쳐나가고싶었음... 1편보고 기대했는데  차태현 안나옴
2973,내가 알바면 별점 5개줬겠지 내 살다살다 이렇게 설명많은 영화는 처음 봤음..이런거 안 적는데 생각할수록 돈 아까움 다큐멘터리도 아니고 꾸역꾸역 내용 이어감 거의 설명충임 그것이 알고싶다보다 설명이 더많음 나만 이렇...
2974,집중안되서 화장실 갔다온 영화는 처음. 보다가 졸기도함
2975,차사들의 과거부분 말거는 재미없었습니다. 너무지루하고 유치해서 억지로 잠을 청햇습니다.여친때메 억지로ㅤㅂㅘㅅ거든요.
2976,개연성 없는 영화 너무 지루해서 30분 지난 다음부터 자고싶었다 원작 보신 분들은 안 보는 거 추천. 원작이랑 그냥 다른 작품
2977,OOO기 같은 영화네.. 모든게 다 엉망.. 감독은 잘 만들었다고 생각했는지 영화 끝무렵에 '20OOO 김용화 감독 작품'이라고 자랑하듯 크게 나오던데..안부끄럽나.?
2978,진짜 핵꿀잼 반전에 반전에 반전이 거듭남 중간에 좀 지루하긴한데 후반부에 진짜 헉소리나고 입을 다물지못함 명작
2979,이 영화를 끝까지 본 내가.귀인이다...너무너무 지루함 재미없음.
2980,최악..웹툰때문에 흥행한거지 개그코드도  참담하다 ㅎㅎ 천만된게 절~~~대 감독덕분아님 주호민덕분
2981,집중이 안되는 계속되는 장면의 전환. 귀인이 되는 과정과 차사들의 과거이야기의 교차가 심각히 부자연스럽고... 집중을 어렵게 함. 영화가 주고자 하는 '용서'라는 키워드가 마지막 하정우와 두 차사의 대...
2982,이런 영화가 왜 천만이 넘는거지?재미 진짜 없어...
2983,노잼스토리라인 긴장감 없이 부실함
2984,"정말 ㅡㅡ;; 알바놈들 패버리고 싶다...기본적으로 연기 퀄이 너무 떨어진다. 대사도 어색하고, 공룡씬은 정말 ㅡㅡ 언급하고 싶지도않네 참나. 실망 실망 대실망!! 하정우등등 이름값 믿고 이 영화 보려는 분들 다시 ..."
2985,오늘 봤는데 좀 실망스럽네요지루한 면도 있고 스토리도 너무 억지스럽고...
2986,"현 1000만관객:주지훈 멋있다! 끝,훗날 1000만관객:내가 미쳤지.... 지금보니 디워랑 도찐개찐이네!극장을 가지않았던 사람들: 이런거 보려고 극장가서 2시간 수면만 하고 돈 낭비했냐?"
2987,1편에 비해 새로운  볼거리도 엄고 스토리는 진부하고 지루하기만 함. 중간에 나오고 싶었네요.
2988,재미 없어요..  진짜 보지마시길..  무조건 헐리웃영화가 진리에요
2989,이것밖에 상영하는게 없어서 할수 없이 봤다.1편에서 내내 잠을 잤는데 2편도 역시나 였다.
2990,"1편에 3점 준 사람으로서 말하지만1편보다 낫고 떡밥 정리도(심지어 1편의 년도 계산실수 문제마저도 그냥 수학 못하는 거로 품) 잘했으나, 이번엔 개연성이 문제."
2991,1편이 훨씬 나았던것 같아요. 너무 뻔한 내용이여서 예상되는 내용이 너무 많더라구요. 살짝 지루했습니다.
2992,단도직입적으로 유주얼 서스펙트급 반전이 아닌 반전의 반전의 반전의 반전인 개콘 이건 몰랐지? 코너같았다. 이번편은 신파극은 덜어냈지만 통수치는 판이었다. 한마디로 띵작이 아닌 똥작이다. 실망한게 한두가지가 아니였다....
2993,주지훈 빼고 볼 게 없음....1편보다는 괜찮음
2994,공룡나오는 순간 이건아니다라는 생각이 들었네요
2995,재미없음.. 차사들 과거랑 지옥왓다갓다 2시간 넘게 지겨워 죽는줄..  1편은 지옥 안가야겟다 교훈이라도 주고 좀 깨달음도 잇던데..  2편은 차사들 얘기만 잔뜩..  인간적으로 끝남.. CG만 볼만햇음..  진심 ...
2996,1.지루함은 감수하세요2.내용은 훈훈합니다3.댓글알바고 머고 당신이 선택한 영화는 재밋게보시길
2997,한국 산업영화의 교과서
2998,"1점도 아깝다 대사는 무슨 파워레인져 보는 거 마냥 오글거려서 듣기조차 싫고, 원작에서 감동을 느끼게 했던 스토리는 죄다 없애거나 망쳐놓음돈 안내고 멤버쉽으로 봐서 그나마 다행"
2999,영화보고왔습니다 영화절반은 정말 지루합니다 그리고 공룡은 누구대가리에서나온생각인지... 정말 쓸데없는 씬이었슴
3000,애매한 영화임진짜 지루함 졸았음...나중에 다운받아서 보는게 이득일듯...
3001,어이없음쥬라기공원보는줄
