,text
69,"일관성 없는 등장인물들, 개연성 없는 어거지 스토리.. 1은 억지로라도 슬펐지 2는 기억나는게 모사 사우르스 뿐"
70,왜 제목이 인과연인지 알겠음 갠적으로 신과함께 죄와벌은 조금슬프면서도 인간의 악행과 그에따른 처벌을 다룬다면 신과함께 인과연은 인간의 얽히고 ㅤㅅㅓㄺ힌 관계를 다룬영화야 스토리가 탄탄하며 흥미진진하다
71,나 이거 처음써보는데 1보다 2가 훨씬 스토리도좋고 1이 차태현이 주인공이라면 2는 주지훈임 주지훈연기 잘하더라 영화가 끝날때까지 끝난게 아니니 가면안됨절때 이번년도 본 영화중 젤 좋았음
72,인랑까지 잘피해 왔는데 여기서 기록이 깨지네ㅜㅜ
73,"진짜 욕하면서 나옴. 뜬금없는 씬을 넣어놓지 않나 스토리는 개연성 1도 없고, 몰입도. 집중도. 하나도 안되는 감정선 넣어놓고 마지막은 훈훈~~ 미안하다 한마디에 허허허허 ㅇㅈㄹ... 풍자해논 요소는 1억인데 펀드로..."
74,재미없었다..ㅋㅋ10자
75,제발 독점이랑 평점알바 그만 좀 써먹으면 안되겠니? 이러니 한국영화가 맨날 그 모양이지 중간에 공룡은 도대체 뭐냐? 돈과 시간이 썩어나는 사람은 보러가라
76,볼사람은 봐라 그 대신 후회는 니들 몫
77,하....총체적난국
78,외전도 아니고;; 너무 재미없었음
79,그냥 이냥저냥 마지막이라고 다 인물관계 섞어논느낌
80,돈버렷다.. 살다살다 이렇게 재미없는 영화는 처음이다
81,헐 평점 개실화임??? ㅋㅋㅋㅋ 어쨋튼 미션 임파서블이랑 인크레더블2 상영관 다시 늘려주세요!!!! 이건 알바가 아니라  진심으로 충고 해주는 말입니다
82,1편도 1400만 찍은게 신기했다
83,두번 졸고 나서 깨닳음. 3편은 보질 말아야지
84,너무 재미없어... 1편은 그나마 괜찮았는데 2편은 졸다 나옴 ㅠㅠ
85,스포 말하면 재미가 반토막이상 날겁니다. 관람전 누가 말하려하면 귀막고 있다 보세요. 보기에 따라 전편이 더 재밌단분도 있겠지만 일단 재미있습니다. 전편보다 특수효과가 많고 원작이 탄탄한 만큼 관람료 이상하는 영화니...
86,기대를 많이 해서인지 그냥 그랬습니다. 물론 잘 만든 영화인건 여전했고 이야기도 나름 신경 쓴 구성 같았지만 1편에서의 감정선과 액션을 기대한 저로서는 그저 평타 느낌이었습니다.
87,영화 중간에 결말을 다 예측해버림..참신한 소재임에도 내용의 신선함이 없었음..그보다 더 문제인건 트렌스포머 4급으로 스토리를 끌어가는게 지루하고 개연성 융통성이 없음..하정우 아역의 오글거리는 연기는 덤..다만 c...
88,이거 재밌다는 새끼들 진심 수준 낮으니 친구로라도 지내지마라
89,평론가 놈들 감독이나 기획사와 인맥 때문에 재미도 없는 영화 더럽게 점수 많이도 줬네...
90,한국영화 걱정이다 이것도영화라고
91,이야기가 산으로 갔다 많이
92,기대를 너무 많이 한건지 지루하더라구요ㅜㅜ 아이들과 같이 봤는데 어른들은 지루하고 아이들은 잼있어 했어요^^주지훈은 역시나 멋있었습니다ㅋ
93,1이 정말 최악이라고 생각했는데 2는 더 최악이다 그 와중에 갑툭튀한 공룡씬은 쥬라기월드 복붙.... 정말 더 나오면 안되는 시리즈
94,전편에 비해 아부 감흥도 없었음... 어떤것도 살리지 못함...    심지어 졸렸음   하정우 마동석이 출연함에도...마동석 케릭터가 이렇게 매력 없던적은 처음보네...
95,진짜 개노잼 인데 욕을못하는게 너무아쉽네요감독님반성하셧음좋겠습니다 저배우에 저원작을 저따위로 만드신건 1편보고 아 망작이구나 하다가 친구가 보자고해서 갔는데 돈이정말아깝네요 ㅎㅎ 10점주는분들은 주지훈 팬이거나 그냥...
96,"재미없고 지루하고 .. 등장인물들은 왜저러나 싶고..도중에 나가서 밖에서 핸드폰 하는게 정신건강에 이로울거 같았지만,옆에 친구가 있어서 참았습니다..이렇게 지루하게 만들거면 러닝타임이라도 짧게 해주시지 그랬어요 ㅜㅜ..."
97,정신없음.지루함. 극장에서 언제 끝나려나 시간 확인하며 앉아있었음. 돈 아까서 잠간 시원한데 피서 다녀온걸루
98,보는내내 몸 비비꼬면서봄
99,갑분쥬(갑자기 분위기 쥬라기공원)
100,1탄의 억지 신파와 적절한 개봉시기로 승승장구 한거 생각안하고 대충 만들었네
101,ㅋㅋㅋ진짜 ㅋㅋㅋ 배우보러오는 사람들이랑 .. 흔한 전개 해외에선 이런거 이상인 작품이 엄청많은데도 불구하고... 그리고 진짜 제일문제는 평가를 너무 후하게 주는사람들때문에 남들도 보게된다는거다자기딴엔 좋은게 좋은거...
102,"스크린독점+ 댓글알바로 흥행하는 b급영화를 본 내돈과 시간이 아까워서 난생처음 댓글쓴다. 그리고 악플에 비공감많던데 비공감숫자 = 알바숫자  , 즉 알바가 존나게 많다는 증거ㅡㅡ"
103,진짜 너무 화가나서 평점 처음으로 남김. 이렇게 뻔할 수가 없음. 이야기를 끌고가는 힘은 둘째 치고라도 그 방법또한 매우 촌스럽고 작위적임. 대사는 늘어지고 반복됨.
104,10대 애들이나 좋아할 수준
105,팬들이 우격다짐으로 평점 올리는거 보소 그냥 극장하나 대관해서 네들끼리 즐겨라 에먼 사람들 피해주지말고
106,와 알바가 실제로존재하는지 오늘 깨달았어요 여러분 진짜 기대하고보러가지마세요
107,공룡은 좀 뜬금없음...스토리상 플롯이 좀...막판에 몰아치기로 신파극도 좀...휴
108,1편과 마찬가지로 또 평점 깎기? 그래도 볼사람은 다본다는게 팩트 ㅋ
109,"뻔히 보이는 이야기를 하면서 ""그의 정체는?! 자.. 60초 뒤에 공개됩니다!""하는 식의 자아도취 스토리텔링. ""잘하면 속편이 나올수도 있을걸?""하고 간보는 것 같아 불쾌한 마무리. 무엇..."
110,그냥 봐라 나만 돈 버릴 수 없다 ㅋㅋ어이가없는 영화드라 차사들처럼 영화관 밖으로 순간이동하고싶었다. .
111,진지하게 이게 재밌나요..?
112,급조로 만든 스토리.뻔한예측.본질의 영화에서 벗어난 내용..재판과정은 하나뿐 그냥 스토리 하나 꽂혀서 그거가지고 짜맞추기 한느낌.내용중 팩트는 단하나임.그걸 맞추기 위해 기존 맴버들가지고 후속작 급히 만든거.연기력 ...
113,그냥 보지마세요 ㅋㅋㅋ
114,스크림독점 진짜 토악질난다
115,역시 한국영화는 글러먹었어
116,미션 아이맥스 틀어주세요
117,1편 2편 억지감동때문에 정말싫다.
118,인랑 알바들 몰려온듯 ㅇㅇ
119,1점 주는 애들이 알바같네요 어제 미션임파서블 보고 밤새고 봤는데 말이 필요없네요 진심 역대급 믿고 보세요 그냥
120,너무 진부한 액자식 구성에 과하게 끊어가는 이야기.. 1편은 강한 한방이라도 있었지. 2편은 너무 억지스럽고 지루해 죽는 줄 알았다. 진짜 이걸 다 보고 나온 내가 귀인이다.
121,재미없다. 한마디로 마른오징어 쥐어 짜내 눈물짜낸격~~
122,새노잼입니다 ㅎㅎㅎㅎ
123,ㅋㅋㅋㅋ 아니 난 이런 촌스러운 전개가 너무 좋다 ㅋㅋ 뭔가 외국에는 없는 한국적인 단순한 전개 이런 게 특색이지
124,망작..김수홍 성격도 이상하고.. 펀드에서 어이상실
125,영화 보다가 잔거는 처음이다
126,리얼 돈 아깝더라.그나마 신파 줄어들어서 다행
127,지루함 뭐가잼다는거냐
128,노잼...미션도봤고 신함도봤다. 미션봐라
129,"유치하기 짝이없는 영화,  상황에맞지않는대사,  억지를쓴 전개 방식 유치한 cg등  ㆍㆍ처음으로 보다가 나왔음 ,"
130,재밌어요 개봉하기만을 바라다 오늘 아침에 가서 보고 왔네요
131,"돈으로 독점, 알바풀기, 천만은무슨..ㅋㅋㅋ"
132,1편 잼나게 본사람으로써 진짜 너무 못만들었음 ..캐릭별 과거사 지루하기 짝이 없고 억지 감동 억지 코미디 억지 스케일  공룡같은거 집어넣고  진짜 감독 뭔지..
133,미션어디가고 이것만 상영하네  .
134,천만 영화 만드는 방법 -> 신파
135,"웹툰도 봤고 1편도 봄. 2편은 신파없고 재밌대서 의리로 봄. 개연성없는 스토리에 뻔한 복선, 배우들 어색한 연기까지 삼위일체.보는 내내 짜증나고 시계만 봄. 드럽게 길기만 함."
136,시간과 돈이 아까운 영화
137,진심노잼지옥도전편에서봐서신비감도없고세차사와염라전생에인연푸는문제라인과연인거같은데다억지감동그리고성주신도처음에강하게나오다중간부터약골되니웃기고오달수가확실히잘했네요조한철자꾸고처왕김팀장억지개그나오니하나도안웃김
138,뻔한 반전 뻔한 권선징악
139,아...역시 흉내내고 따라하고 유치하고 딱 얘덜영화 ㅋ
140,독점 그만하자 재미도 없는데
141,0점 주고싶다cg기술이 정말최악이다중국기술을 썼나?
142,어제 시사회표로 신과함꼐 보고 왔는데 전 1편보다 잼있어요..ㅎㅎ
143,시간을 돌릴 수만 있다면 집에서 누워서 에어컨 바람이나 맞으며 낮잠을 잤을텐데
144,이런식의  영화는 그만 만들어야 함
145,이거보고 10점이라고? ㅉㅉㅉ
146,사람마다 다르겠지만. 내 취향은 아닌듯.
147,시사회로 미리 봤었는데 내일 또 보러가려고 예매함!! 성주신 나올때마다 빵터짐ㅋㅋ 이번편은 해원맥 캐릭터가 흥할듯 매력있어
148,그냥 더워서 상영관에서 피서하러오는
149,한줄평 처음써봅니다. 3편은 만들지마세요.
150,6시30분 영화 봤습니다.알바 아니고액션은 1편보다 적지만 스토리랑 전체적인 것1보다 훨씬 재밌고 완성적입니다.
151,이걸 재미잇다고 평점 높게 주는 이유를 이해할수가 없네
152,왜 인기많은지 모르겠어요...
153,1편이랑 같은감독맞냐 진심으로?
154,이딴 영화가 독점이나 해대니 한국 영화 시장의 미래가 밝다 1편도 존나 신파극이었는데 찬사받는 게 기괴했음
155,"공룡은 갑자기 왜 나오는건지CG, 스토리 다 별로였다."
156,나는 이 영화를 보면서 고구마를 쳐먹을 죄를 지은게 분명하다
157,너무 재미있게봤어요!성주신 너무 귀엽고ㅜ깨알같이 나온 원일병도 너무 귀엽네요!?
158,"이건 돈받고 봐야 할 듯... 하고 싶은 얘기는 많고 보여주고 싶은 것도 많고 전복, 한우, 장어 온갖 좋은거 모아서 비빔밥 만든 느낌^_^ 20만원어치 재료로 5천원짜리 비빔밥 만듦"
159,영화보는내내 장난치는것도 아니고 너무 말장난 난무에 어린애들 흥미위주로 제작의도가 엿보이는 과도한 억지 웃음코드액션이 눈에 거슬렸어요. 호불호 갈릴거같네요.
160,스크린쿼터제는 폐지되어야 합니다.
161,우리나라 관객의 수준이다.. 8.67점.. 제 인생 최악의 영화이더군요.. 두시간 반동안 미쳐버리는줄알았습니다
162,공룡은 진짜 왜나온거?
163,억지스런 스토리 연결구도
164,이런 쓰레기 영화가 천만 돌파면 한국영화의 수치다. 차라리 미션임파서블을 두 번 본다.
165,메인 스토리 1개도 제대로 못풀면서 3개를 한꺼번에 풀어보려는 감독의 분수의 안맞는 욕심에 결국 스토리는 폭파 같잖은 cg자랑질에 개연성은 지옥에 빠져버림
166,배우들 연기 때문에 주는 점수...스토리랍시고 만들었지만 신파극이었다.결국 마동석은 뭔 사연인데?마지막쯤에 나오는 대문짝만한 감독이름에 실소가 나오더라...
167,개그에 웃고 스토리에 두 번 웃었습니다
168,알바아니고 진짜 영화좀 본다는 사람이면 절대절대절대 보지마세요 개개개노잼이에요
169,점수 날조보소 ㅋㅋㅋㅋ 돈아껴라
170,명량이 한국영화 수 역대 1위고 이영화 평점이 8점대인거 보면 이제 한국영화의 완성은 작품성보단 스크린독점과 광고가 8할인듯
171,유치한거 너무 싫다 스토리짜집기
172,1편보다많이지루했어요
173,나만지루햇나 싶엇는대 영화관에서 핸드폰 불빛을 이렇게많이본건 처음이다 진짜 억지로 재밋다고 우기는느낌
174,"나만 노잼이었나 평점 뭐지 이 정도로 호평받을거였나 싶네 원작이 훨씬, 1편이 훨씬 재밌었다 나는. 무슨 막장드라마도 아니고 가족관계가 다 얽혀있나 또 너무 예상갔어서 더 재미없었다. 그래도 볼 거 없으면 볼 만 할..."
175,인과연이 아니라 인과응보가 될것임
176,도대체 왜 이런 영화 인기있는지 알수가 없다 이런 영화 만든 인간이 문제 아님 보는 인간이 더 문제 알수가 없다
177,ㄹㅇ 이걸 왜 돈보고 보는지 모르겠음 2개의 스토리가 있는데 대놓고 왔다갔다하니 정신없고 영화 정신없고 배우 정신없고 지저분함
178,도저히 못보겠더라.. 내가 미쳤지
