,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
497,137010,포켓몬 더 무비 XY 후파: 광륜의 초마신,151223,일본,모험,0.889,0.8740000000000001,0.0,0.818,0.929,86193
499,148620,다이노X 탐험대,160504,한국,모험,0.7090000000000001,0.66,0.0,0.49700000000000005,0.541,83319
504,140803,하이큐!! 끝과 시작,161116,일본,모험,0.924,0.89,0.0,0.6579999999999999,0.9159999999999999,75704
509,149505,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,160928,영국,모험,0.8640000000000001,0.8540000000000001,0.0,0.8590000000000001,0.915,69881
514,145318,아이엠스타 뮤직어워드,160914,일본,모험,0.779,0.467,0.8109999999999999,0.691,0.863,67027
516,149516,리틀메딕: 몸속탐험대,161124,독일,모험,0.802,0.8,0.0,0.762,0.889,66562
521,147355,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,160225,영국,모험,0.7909999999999999,0.77,0.0,0.5,0.74,60977
523,141675,극장판 도라에몽: 신 진구의 버스 오브 재팬,161221,일본,모험,0.9079999999999999,0.903,0.0,0.8540000000000001,0.9540000000000001,59147
524,149576,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,160602,영국,모험,0.8490000000000001,0.833,0.0,0.638,0.878,58619
527,148656,극장판 프랭키와 친구들: 생명의 나무,160413,한국,모험,0.871,0.86,0.0,0.777,0.92,56842
532,154133,백설공주 : 사라진 아빠를 찾아서,160929,중국,모험,0.765,0.737,0.0,0.64,0.755,55355
537,143253,뽀로로 극장판 컴퓨터 왕국 대모험,151210,한국,모험,0.895,0.879,0.0,0.8190000000000001,0.9059999999999999,53939
