영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
94767,덕혜옹주,160803,한국,액션,0.884,0.595,0.876,0.739,0.868,5599229
125459,닥터 스트레인지,161026,미국,액션,0.901,0.703,0.914,0.819,0.911,5446239
130850,주토피아,160217,미국,모험,0.946,0.72,0.981,0.922,0.98,4706158
154255,신비한 동물사전,161116,미국,모험,0.757,0.533,0.646,0.51,0.643,4662534
123519,아가씨,160601,한국,공포,0.78,0.768,0.747,0.64,0.704,4287839
97692,쿵푸팬더3,160128,미국,모험,0.89,0.647,0.906,0.788,0.897,3984812
167108,귀향,160224,한국,드라마,0.927,0.5,0.826,0.629,0.935,3587173
181030,데드풀,160217,미국,액션,0.837,0.861,0,0.851,0.908,3317196
113344,나우 유 씨 미 2,160713,미국,액션,0.865,0.534,0.872,0.79,0.862,3100113
142803,형,161123,한국,드라마,0.905,0.455,0.875,0.695,0.874,2979659
119430,엑스맨: 아포칼립스,160525,미국,액션,0.836,0.735,0.86,0.791,0.895,2938818
129383,미스 페레그린과 이상한 아이들의 집,160928,미국,모험,0.87,0.708,0.887,0.825,0.87,2718158
100647,히말라야,151216,한국,드라마,0.879,0.563,0.837,0.608,0.81,2630352
144968,제이슨 본,160727,미국,액션,0.843,0.597,0.88,0.84,0.896,2611966
97629,도리를 찾아서,160706,미국,모험,0.874,0.652,0.894,0.803,0.861,2601734
183996,아수라,160928,한국,모험,0,0,0,0,0,2594028
127394,정글북,160609,미국,모험,0,0.5,0,0.5,0,2537438
134980,마이펫의 이중생활,160803,미국,모험,0.879,0.667,0.899,0.798,0.843,2520670
109960,배트맨 대 슈퍼맨: 저스티스의 시작,160324,미국,액션,0.725,0.595,0.719,0.687,0.637,2256913
139700,굿바이 싱글,160629,한국,드라마,0.854,0.597,0.849,0.695,0.87,2108273
134895,봉이 김선달,160706,한국,드라마,0.838,0.514,0.809,0.608,0.872,2051277
124212,레버넌트: 죽음에서 돌아온 자,160114,미국,모험,0.808,0.746,0.821,0.765,0.815,2007188
114282,컨저링 2,160609,미국,공포,0.846,0.657,0.864,0.805,0.841,1928605
147001,내부자들: 디 오리지널,151231,한국,액션,0.922,0.904,0,0.894,0.927,1924720
126032,수어사이드 스쿼드,160803,미국,액션,0.771,0.515,0.731,0.606,0.762,1898220
74866,인디펜던스 데이 : 리써전스,160622,미국,액션,0.744,0.52,0.762,0.676,0.85,1500830
