,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
324,149776,지랄발광 17세,170628,미국,드라마,0.0,0.64,0.828,0.768,0.8240000000000001,83258
325,125417,파도가 지나간 자리,170308,미국,드라마,0.9059999999999999,0.6,0.9490000000000001,0.9059999999999999,0.9359999999999999,82736
327,156417,너와 100번째 사랑,170525,일본,드라마,0.861,0.467,0.8340000000000001,0.674,0.838,80614
330,125447,오두막,170420,미국,드라마,0.9259999999999999,0.4,0.899,0.73,0.9229999999999999,76646
331,149731,패트리어트 데이,170406,미국,드라마,0.902,0.5,0.925,0.865,0.9540000000000001,74827
334,182896,더 서클,170622,미국,드라마,0.0,0.0,0.0,0.0,0.0,71362
338,169561,뷰티풀 투모로우,171026,한국,드라마,0.0,0.9259999999999999,0.0,0.657,1.0,63279
343,156465,밤의 해변에서 혼자,170323,한국,드라마,0.773,0.763,0.594,0.5329999999999999,0.395,57056
345,137956,맨체스터 바이 더 씨,170215,미국,드라마,0.902,0.778,0.9159999999999999,0.85,0.912,55658
349,125418,튤립 피버,171214,영국,드라마,0.7809999999999999,0.5329999999999999,0.772,0.73,0.737,52144
355,141104,터널,160810,한국,드라마,0.875,0.721,0.877,0.763,0.8640000000000001,7120508
357,165795,럭키,161013,한국,드라마,0.0,0.0,0.0,0.0,0.0,6975290
365,167108,귀향,160224,한국,드라마,0.927,0.5,0.826,0.629,0.935,3587173
368,142803,형,161123,한국,드라마,0.905,0.455,0.875,0.695,0.8740000000000001,2979659
371,100647,히말라야,151216,한국,드라마,0.879,0.563,0.8370000000000001,0.608,0.81,2630352
378,139700,굿바이 싱글,160629,한국,드라마,0.8540000000000001,0.597,0.8490000000000001,0.695,0.87,2108273
379,134895,봉이 김선달,160706,한국,드라마,0.838,0.514,0.809,0.608,0.872,2051277
385,115504,탐정 홍길동: 사라진 마을,160504,한국,드라마,0.835,0.68,0.813,0.66,0.8540000000000001,1430885
391,134899,동주,160217,한국,드라마,0.9309999999999999,0.75,0.983,0.909,0.9840000000000001,1172641
397,136686,오빠생각,160121,한국,드라마,0.862,0.5660000000000001,0.892,0.784,0.925,1069864
400,137915,미 비포 유,160601,미국,드라마,0.812,0.578,0.7559999999999999,0.627,0.8029999999999999,945172
